id,personaadi,senaryo1,senaryo10,senaryo11,senaryo12,senaryo13,senaryo14,senaryo15,senaryo16,senaryo2,senaryo3,senaryo4,senaryo5,senaryo6,senaryo7,senaryo8,senaryo9
44.0,Bilgisayar Mühendisi,B,B,B,D,C,E,B,A,B,C,D,D,C,A,D,C
45.0,Doktor,A,E,C,D,A,C,B,E,C,C,E,D,B,A,E,D
46.0,Doktor,E,B,C,E,A,B,B,B,D,B,D,C,B,A,C,D
47.0,Doktor,A,B,E,A,E,C,B,D,D,C,D,A,C,D,A,B
48.0,Bilgisayar Mühendisi,B,B,A,D,E,B,E,D,B,E,B,E,A,D,C,A
49.0,Bilgisayar Mühendisi,A,E,C,E,A,D,D,C,D,D,E,A,A,A,E,D
50.0,Bilgisayar Mühendisi,A,E,A,C,A,D,B,D,D,B,B,C,A,A,A,B
51.0,Doktor,A,E,B,E,A,D,B,E,D,D,B,E,C,B,B,B
52.0,Doktor,A,C,A,D,E,A,A,C,C,E,D,B,B,C,B,A
53.0,Doktor,D,E,D,B,C,C,B,C,D,C,B,C,A,D,C,C
54.0,Bilgisayar Mühendisi,A,E,B,E,D,E,B,D,D,D,D,C,B,C,C,C
55.0,Bilgisayar Mühendisi,E,B,A,B,A,E,E,A,A,B,D,C,B,D,E,C
56.0,Bilgisayar Mühendisi,E,E,A,B,E,C,B,A,A,A,D,C,C,A,A,B
57.0,Bilgisayar Mühendisi,E,B,A,D,D,C,B,D,C,C,D,C,A,A,B,C
58.0,Bilgisayar Mühendisi,A,E,A,D,A,D,B,D,D,B,E,C,A,A,A,C
59.0,Bilgisayar Mühendisi,A,E,B,C,A,D,B,D,D,A,D,C,C,A,A,C
60.0,Bilgisayar Mühendisi,A,B,A,C,A,D,B,A,D,C,B,C,A,B,A,B
61.0,Bilgisayar Mühendisi,E,E,A,C,A,C,C,D,C,C,A,C,C,A,E,B
62.0,Bilgisayar Mühendisi,E,B,B,E,C,C,B,A,D,D,D,C,A,A,E,C
63.0,Bilgisayar Mühendisi,C,E,A,D,A,D,B,C,D,B,D,C,A,B,B,C
64.0,Doktor,E,B,C,C,A,D,B,D,D,D,D,C,B,A,A,B
65.0,Bilgisayar Mühendisi,A,E,A,D,E,D,B,C,D,B,B,C,A,A,D,B
66.0,Doktor,A,C,A,C,A,D,B,D,D,B,D,C,A,B,D,C
67.0,Doktor,A,C,A,C,A,D,B,D,D,A,B,C,A,A,A,C
68.0,Doktor,A,C,A,C,A,D,B,D,D,A,D,C,A,A,A,C
69.0,Doktor,A,C,A,C,A,D,B,D,D,A,D,C,A,A,A,C
70.0,Doktor,A,C,A,C,A,D,B,D,D,A,E,C,A,A,A,C
71.0,Doktor,A,C,A,C,A,D,B,D,D,B,D,C,C,B,A,C
72.0,Doktor,A,C,A,C,A,D,B,D,D,A,E,C,C,B,D,C
73.0,Doktor,A,C,A,C,A,D,B,D,D,A,D,C,A,A,A,C
74.0,Doktor,A,C,A,C,A,D,B,D,D,A,D,C,A,A,D,C
75.0,Doktor,A,C,A,D,A,D,B,D,D,B,D,C,C,B,D,C
76.0,Doktor,A,B,B,C,E,D,B,C,D,A,D,C,C,B,D,C
77.0,Doktor,A,C,A,C,A,D,B,D,D,A,D,C,A,A,A,C
78.0,Doktor,A,C,A,C,A,D,B,D,D,A,D,C,A,A,A,C
79.0,Doktor,A,C,A,C,A,C,B,D,D,A,D,C,A,B,A,C
80.0,Doktor,A,C,C,A,C,B,A,D,D,A,D,C,A,A,A,C
81.0,Doktor,A,E,C,A,A,D,A,D,D,E,B,C,A,E,A,A
82.0,Doktor,E,E,D,B,D,A,B,D,D,B,B,C,A,C,B,C
83.0,Doktor,A,E,D,B,D,B,B,A,D,B,D,E,C,A,B,C
84.0,Doktor,A,E,D,B,D,B,B,A,D,B,B,E,A,C,B,C
85.0,Doktor,A,E,D,B,D,B,B,A,D,B,D,E,C,A,B,C
86.0,Doktor,A,E,D,B,D,B,B,A,D,B,C,E,C,A,B,C
87.0,Doktor,A,E,D,B,D,B,B,A,D,B,C,E,C,A,B,C
88.0,Doktor,A,E,D,B,D,B,B,A,D,B,D,E,C,A,B,C
89.0,Doktor,A,E,D,B,D,B,B,A,D,B,D,E,C,A,B,C
90.0,Doktor,A,E,D,B,D,B,B,A,D,B,D,E,C,A,B,C
91.0,Doktor,A,E,D,B,D,B,B,A,D,B,D,E,C,A,B,C
92.0,Doktor,A,E,D,B,D,B,B,A,D,B,D,E,C,A,B,C
93.0,Doktor,A,C,A,C,A,C,B,D,D,B,D,C,A,A,A,C
94.0,Doktor,A,C,A,D,A,D,B,D,D,B,D,C,A,A,B,C
95.0,Doktor,A,E,A,C,A,C,B,D,D,A,D,C,C,A,D,C
96.0,Doktor,A,B,A,A,C,E,D,A,D,B,D,C,B,A,E,E
97.0,Doktor,A,B,A,E,C,D,B,A,D,B,B,C,A,E,E,B
98.0,Doktor,A,C,B,D,C,E,A,A,D,B,C,D,B,E,A,B
99.0,Doktor,A,C,C,A,A,C,B,E,D,E,A,D,A,A,D,B
100.0,Doktor,E,C,D,B,D,D,B,A,B,B,B,C,A,C,A,D
101.0,Bilgisayar Mühendisi,A,D,D,D,A,E,E,D,B,E,D,B,B,A,C,A
102.0,Doktor,A,C,B,C,A,D,B,D,D,C,D,C,A,A,D,B
103.0,Doktor,A,C,E,C,A,D,B,B,E,D,D,C,A,A,A,B
104.0,Bilgisayar Mühendisi,E,D,C,B,C,C,C,C,D,A,D,C,C,B,C,C
105.0,Doktor,A,C,D,D,D,D,C,D,D,B,E,C,C,C,A,C
106.0,Bilgisayar Mühendisi,E,E,D,B,D,D,E,D,B,B,B,C,C,A,A,D
107.0,Doktor,B,C,C,A,A,C,B,B,D,E,C,D,A,B,D,B
108.0,Bilgisayar Mühendisi,A,E,D,C,D,D,E,C,D,B,D,C,B,B,C,C
109.0,Doktor,A,C,B,C,A,D,B,D,D,C,D,C,A,A,D,B
110.0,Doktor,A,C,C,C,A,C,B,C,D,B,A,D,C,B,D,B
111.0,Doktor,A,C,E,C,A,D,B,B,D,D,D,C,A,A,A,B
112.0,Bilgisayar Mühendisi,A,E,C,D,D,E,E,C,D,B,D,B,C,B,C,C
113.0,Doktor,A,B,D,A,D,A,B,C,D,A,A,C,C,C,C,C
114.0,Doktor,A,E,B,C,A,D,B,B,D,A,D,C,A,A,A,B
115.0,Doktor,A,B,C,C,A,C,B,D,D,B,C,D,A,B,D,B
116.0,Bilgisayar Mühendisi,A,C,C,E,C,C,E,C,D,A,D,C,C,B,B,B
117.0,Doktor,E,C,D,C,D,D,B,D,D,C,B,C,C,C,A,C
118.0,Doktor,A,C,B,C,A,D,B,B,D,E,B,C,A,A,D,B
119.0,Bilgisayar Mühendisi,E,E,C,E,C,C,E,C,D,B,D,C,C,B,C,B
120.0,Doktor,A,B,C,A,C,A,B,C,D,B,A,D,C,C,C,C
121.0,Doktor,A,E,B,C,A,D,B,D,D,A,D,C,A,C,A,B
122.0,Bilgisayar Mühendisi,E,D,D,D,A,E,E,D,B,C,D,B,B,A,C,A
123.0,Doktor,A,E,B,C,A,D,B,D,D,D,B,C,A,C,D,B
124.0,Doktor,B,C,C,A,A,C,B,E,D,E,C,C,B,B,D,B
125.0,Bilgisayar Mühendisi,A,D,D,C,E,D,E,D,B,B,D,B,C,A,C,D
126.0,Doktor,A,E,E,C,A,D,B,B,D,D,D,C,A,C,A,B
127.0,Doktor,A,C,C,C,C,C,B,C,D,B,A,C,C,B,D,B
128.0,Bilgisayar Mühendisi,E,D,D,D,A,E,E,D,B,E,D,E,B,A,C,A
129.0,Doktor,A,C,E,C,D,D,B,D,D,C,D,C,C,C,A,C
130.0,Doktor,A,C,D,C,D,D,B,D,D,A,E,C,C,C,A,C
131.0,Bilgisayar Mühendisi,E,E,D,B,D,E,C,C,B,B,D,C,C,B,C,C
132.0,Doktor,A,E,E,C,A,D,B,B,D,D,E,C,A,A,A,B
133.0,Doktor,A,C,B,C,A,D,B,D,D,A,B,C,A,A,A,B
134.0,Bilgisayar Mühendisi,E,E,C,C,D,C,E,C,D,B,D,C,C,B,C,B
135.0,Doktor,B,B,C,C,A,D,B,D,D,E,E,D,A,B,D,B
136.0,Doktor,A,E,B,C,A,D,B,D,D,D,D,C,A,C,A,C
137.0,Doktor,A,C,D,E,A,D,E,A,C,C,D,B,C,A,B,B
138.0,Doktor,B,C,E,C,A,D,B,B,E,E,D,C,A,B,A,B
139.0,Doktor,B,C,E,C,A,C,B,B,E,E,B,C,A,B,A,B
140.0,Bilgisayar Mühendisi,A,E,C,C,D,D,E,C,D,B,D,C,C,B,C,C
141.0,Doktor,A,E,E,E,D,D,E,A,D,A,A,B,C,C,B,C
142.0,Doktor,E,C,B,C,D,D,B,D,D,B,B,C,A,C,A,D
143.0,Bilgisayar Mühendisi,E,D,D,E,E,E,E,D,B,C,D,E,C,A,B,D
144.0,Doktor,A,C,D,C,D,D,B,D,D,C,D,C,C,C,A,C
145.0,Doktor,A,C,B,C,A,D,B,A,D,D,D,C,A,A,A,B
146.0,Bilgisayar Mühendisi,E,E,C,D,D,D,E,C,D,B,E,B,C,B,C,C
147.0,Doktor,E,C,E,E,D,D,B,B,D,D,D,C,A,C,E,D
148.0,Doktor,D,C,C,C,A,C,B,C,D,B,A,C,A,B,D,B
149.0,Bilgisayar Mühendisi,A,C,D,D,D,C,C,C,D,B,E,C,C,B,C,B
150.0,Doktor,A,C,B,C,D,D,B,D,D,B,D,C,C,C,A,C
151.0,Bilgisayar Mühendisi,A,C,C,E,C,C,E,C,D,A,D,C,C,B,B,B
152.0,Doktor,A,B,B,C,D,D,B,D,D,B,E,C,C,C,B,C
153.0,Doktor,A,C,B,C,A,D,B,D,D,A,B,C,A,A,D,B
154.0,Bilgisayar Mühendisi,A,E,C,E,C,E,E,C,D,A,D,B,C,B,C,C
155.0,Doktor,A,B,C,A,D,A,B,C,D,A,A,C,C,C,C,C
156.0,Doktor,A,C,E,C,A,D,B,B,E,D,D,C,A,A,A,B
157.0,Bilgisayar Mühendisi,E,E,C,E,D,E,E,A,D,B,D,B,C,B,C,B
158.0,Doktor,C,C,E,C,C,D,B,A,E,B,B,C,C,C,A,C
159.0,Bilgisayar Mühendisi,A,B,B,C,A,C,B,D,D,B,D,C,A,B,D,B
160.0,Bilgisayar Mühendisi,A,D,D,C,E,D,E,D,B,B,D,B,C,A,C,D
161.0,Doktor,A,E,B,C,A,D,B,D,D,D,D,C,A,C,A,B
162.0,Bilgisayar Mühendisi,A,E,D,E,D,D,E,C,D,B,D,C,C,B,B,C
163.0,Doktor,A,E,E,C,A,D,B,A,E,A,D,E,C,A,A,B
164.0,Doktor,B,C,B,C,A,C,B,B,D,E,B,C,A,C,D,B
165.0,Bilgisayar Mühendisi,A,D,D,C,A,D,E,D,B,B,D,C,B,A,C,B
166.0,Doktor,A,B,B,C,A,D,B,A,D,A,A,C,A,A,A,B
167.0,Doktor,A,E,E,C,A,D,B,B,D,A,D,C,A,C,A,B
168.0,Bilgisayar Mühendisi,E,C,A,E,A,E,E,D,D,E,D,B,A,A,D,A
169.0,Doktor,A,B,B,C,A,D,B,D,D,C,B,D,A,A,D,B
170.0,Doktor,A,B,B,C,A,D,B,D,D,C,B,C,A,A,D,B
171.0,Bilgisayar Mühendisi,A,C,C,E,A,D,E,A,C,A,D,B,C,A,B,B
172.0,Doktor,A,B,E,C,C,C,B,A,E,A,D,C,A,B,A,B
173.0,Doktor,B,C,B,C,A,C,B,D,D,E,C,C,A,B,D,B
174.0,Bilgisayar Mühendisi,E,B,C,D,D,E,C,C,D,B,E,C,C,B,C,C
175.0,Doktor,A,B,B,C,D,D,B,D,D,C,E,C,C,C,A,C
176.0,Doktor,A,B,E,C,D,D,B,B,D,A,B,C,C,C,A,C
177.0,Bilgisayar Mühendisi,A,C,C,E,C,C,E,C,D,A,D,C,C,B,B,B
178.0,Doktor,A,C,E,C,A,D,B,B,D,D,D,C,A,C,A,B
179.0,Bilgisayar Mühendisi,A,E,D,D,D,D,E,C,D,B,E,C,C,C,C,C
180.0,Bilgisayar Mühendisi,E,C,D,D,D,E,E,D,B,C,E,C,B,B,C,B
181.0,Doktor,A,D,D,E,A,E,E,A,A,C,D,A,B,A,B,A
182.0,Doktor,A,E,E,C,A,D,B,B,D,A,D,C,A,C,A,B
183.0,Bilgisayar Mühendisi,E,E,C,B,D,C,C,C,B,B,D,C,C,B,C,C
184.0,Doktor,E,E,D,D,D,D,E,C,D,B,E,C,C,C,C,C
185.0,Doktor,A,C,B,C,A,C,B,A,D,E,B,C,A,B,D,B
186.0,Bilgisayar Mühendisi,A,D,D,E,E,E,E,A,B,C,D,E,C,A,B,B
187.0,Doktor,E,B,D,C,D,D,B,C,D,B,B,C,C,B,C,C
188.0,Bilgisayar Mühendisi,E,E,D,D,D,E,B,E,B,C,D,B,B,D,C,A
189.0,Doktor,B,C,E,C,A,D,B,B,D,E,D,C,E,E,E,B
190.0,Doktor,A,B,B,C,A,D,B,D,D,B,B,C,A,A,A,B
191.0,Doktor,A,C,C,C,A,D,B,D,D,B,D,C,C,A,B,C
192.0,Bilgisayar Mühendisi,E,E,C,D,D,E,E,C,D,B,E,B,C,C,C,C
193.0,Doktor,B,B,B,C,D,C,B,C,D,B,A,A,C,B,D,D
194.0,Doktor,B,B,B,B,A,D,B,C,E,E,A,B,B,B,D,D
195.0,Doktor,A,C,B,C,A,D,B,D,D,C,E,C,A,A,A,D
196.0,Doktor,B,B,B,C,D,C,B,C,D,B,B,A,C,B,D,C
197.0,Doktor,D,B,C,C,A,C,B,A,B,B,A,D,B,B,D,D
198.0,Doktor,A,C,D,B,A,D,B,D,D,A,D,C,A,A,E,C
199.0,Doktor,E,C,D,C,A,D,B,D,D,C,D,A,A,A,A,C
200.0,Doktor,E,C,D,B,C,D,B,D,D,C,E,C,A,C,E,C
201.0,Doktor,B,B,B,C,A,C,B,C,D,B,B,A,C,B,A,D
202.0,Doktor,A,E,D,C,A,C,B,D,D,C,D,C,A,A,A,C
203.0,Doktor,B,E,B,B,A,C,B,C,E,B,E,B,A,B,D,D
204.0,Doktor,A,C,D,C,A,D,B,D,D,C,E,C,A,A,A,D
205.0,Doktor,A,C,D,C,A,D,B,B,C,D,E,C,A,A,E,B
206.0,Doktor,E,E,B,D,A,D,B,A,B,B,D,D,B,B,A,D
207.0,Doktor,C,B,C,B,C,A,C,C,D,A,A,B,B,B,C,C
208.0,Doktor,D,A,D,B,C,D,B,B,C,A,E,A,A,C,E,B
209.0,Doktor,A,B,C,D,C,D,C,D,D,B,A,C,C,B,C,C
210.0,Doktor,E,C,D,C,A,D,B,D,D,C,D,C,C,A,E,C
211.0,Doktor,A,B,B,E,A,C,B,C,D,C,D,A,C,A,D,C
212.0,Doktor,A,E,D,D,E,D,B,E,D,D,D,B,E,A,E,C
213.0,Doktor,E,C,D,B,A,D,B,B,C,D,E,C,A,A,E,D
214.0,Doktor,A,C,D,B,A,D,B,B,C,D,E,C,A,C,E,B
215.0,Doktor,B,B,B,C,A,C,B,A,B,B,A,D,B,B,D,D
216.0,Doktor,A,C,B,C,A,C,B,D,D,B,E,C,A,A,D,C
217.0,Doktor,A,E,D,C,A,D,B,B,D,D,E,A,A,C,A,B
218.0,Doktor,B,B,B,C,A,C,B,C,B,B,B,D,C,B,D,D
219.0,Doktor,B,B,B,D,A,C,B,D,D,B,A,D,B,B,D,C
220.0,Doktor,E,B,C,D,C,D,C,D,D,A,A,C,C,B,C,C
221.0,Doktor,A,B,D,E,E,C,B,C,D,C,A,A,C,A,C,C
222.0,Doktor,A,C,D,D,A,D,B,D,C,D,E,A,A,C,A,B
223.0,Doktor,B,B,B,C,D,C,B,C,D,B,A,B,C,B,D,C
224.0,Doktor,B,B,B,C,A,C,B,A,D,B,A,D,B,B,D,D
225.0,Doktor,A,B,D,C,E,D,B,C,D,D,D,A,E,A,E,B
226.0,Doktor,A,E,D,C,A,D,B,B,D,D,E,A,A,A,E,B
227.0,Doktor,E,C,D,B,C,D,B,D,D,A,E,C,A,C,E,C
228.0,Doktor,B,B,B,C,A,C,B,A,B,E,B,B,B,B,D,B
229.0,Doktor,A,B,C,D,D,D,C,D,D,B,A,C,C,B,C,C
230.0,Doktor,E,B,D,D,A,D,B,A,D,C,D,A,E,A,E,B
231.0,Doktor,B,C,D,C,A,D,B,B,D,D,E,D,A,A,A,D
232.0,Doktor,A,E,D,D,C,C,B,D,D,B,D,A,C,A,A,C
233.0,Doktor,B,B,B,C,A,C,B,C,B,E,B,B,B,B,D,D
234.0,Doktor,A,E,C,E,D,D,B,D,D,B,E,C,C,B,A,C
235.0,Bilgisayar Mühendisi,E,E,B,D,A,D,B,A,B,E,E,C,B,B,A,D
236.0,Bilgisayar Mühendisi,B,B,C,D,D,A,C,D,D,B,A,B,B,B,D,C
237.0,Bilgisayar Mühendisi,A,E,B,C,A,D,B,A,B,B,D,D,C,B,A,D
238.0,Bilgisayar Mühendisi,A,B,C,E,E,C,C,C,D,C,B,B,C,A,D,C
239.0,Bilgisayar Mühendisi,A,B,D,E,E,C,C,C,D,C,A,A,C,A,D,C
240.0,Bilgisayar Mühendisi,B,B,C,C,D,C,C,D,D,A,A,B,C,B,C,C
241.0,Bilgisayar Mühendisi,A,B,C,B,C,A,C,C,D,A,A,B,C,A,C,C
242.0,Bilgisayar Mühendisi,A,E,D,C,E,D,B,D,D,D,D,C,E,A,E,C
243.0,Bilgisayar Mühendisi,B,B,C,C,C,A,C,D,D,B,A,B,B,B,D,C
244.0,Bilgisayar Mühendisi,E,D,B,D,A,A,C,D,E,E,C,D,B,B,C,D
245.0,Bilgisayar Mühendisi,B,B,C,B,D,A,C,D,D,A,A,B,C,A,C,C
246.0,Bilgisayar Mühendisi,A,C,C,D,E,D,B,D,D,C,E,C,A,A,E,C
247.0,Bilgisayar Mühendisi,E,B,C,D,C,D,C,D,D,B,A,C,C,B,C,C
248.0,Bilgisayar Mühendisi,A,A,D,B,E,D,B,E,C,C,E,A,E,C,E,B
249.0,Bilgisayar Mühendisi,E,B,C,B,C,A,C,C,B,A,A,B,C,D,C,C
250.0,Bilgisayar Mühendisi,E,B,C,C,D,A,C,C,D,B,A,B,B,B,D,C
251.0,Bilgisayar Mühendisi,E,C,D,B,A,D,B,B,C,D,E,C,E,A,E,D
252.0,Bilgisayar Mühendisi,A,E,D,C,A,D,B,A,B,D,E,D,A,A,A,D
253.0,Bilgisayar Mühendisi,A,B,B,D,E,D,B,A,D,D,D,C,A,A,A,A
254.0,Bilgisayar Mühendisi,D,C,D,C,A,D,B,B,C,C,D,A,A,A,E,B
255.0,Bilgisayar Mühendisi,A,B,B,E,E,C,C,D,D,C,C,A,C,A,D,A
256.0,Bilgisayar Mühendisi,B,B,C,D,A,C,C,D,B,B,B,D,B,B,D,D
257.0,Bilgisayar Mühendisi,B,B,C,B,D,A,C,C,D,A,A,B,B,B,D,C
258.0,Doktor,A,E,D,D,A,D,B,B,C,D,E,C,E,A,E,D
259.0,Doktor,A,B,D,C,C,C,C,C,D,A,D,A,C,A,C,C
260.0,Doktor,B,B,B,D,D,C,B,D,D,B,B,B,C,B,D,C
261.0,Doktor,B,D,C,A,A,A,B,B,B,E,B,B,B,B,A,B
262.0,Doktor,A,E,B,E,E,D,B,E,D,C,D,A,E,A,A,A
263.0,Doktor,A,E,D,C,A,D,B,B,C,A,E,A,A,A,E,B
264.0,Doktor,B,B,B,C,D,C,B,C,D,B,B,D,C,B,D,D
265.0,Doktor,A,C,D,C,A,D,B,A,A,D,E,D,A,A,A,D
266.0,Doktor,C,B,C,B,C,A,C,C,D,A,A,B,E,C,C,C
267.0,Doktor,E,C,D,B,C,D,B,D,D,A,E,C,A,C,E,C
268.0,Doktor,D,C,D,E,B,C,B,A,E,B,B,C,B,D,E,B
269.0,Doktor,D,B,B,C,E,B,C,D,E,B,E,D,B,E,E,A
270.0,Bilgisayar Mühendisi,B,B,B,A,C,E,A,B,A,D,A,C,D,A,D,E
271.0,Doktor,B,A,E,B,B,B,B,C,C,E,E,C,D,A,C,E
272.0,Doktor,D,E,D,E,A,A,E,C,B,A,C,E,E,C,D,E
273.0,Bilgisayar Mühendisi,A,B,C,E,B,C,E,A,E,E,B,B,C,B,D,E
274.0,Doktor,B,A,D,D,E,B,B,C,E,D,E,D,A,C,B,B
275.0,Bilgisayar Mühendisi,D,D,D,B,B,D,C,B,A,B,A,C,C,E,A,E
276.0,Doktor,C,B,E,A,D,B,C,A,A,B,C,B,A,D,A,D
277.0,Bilgisayar Mühendisi,D,E,C,E,B,B,D,A,D,C,E,A,E,A,D,D
278.0,Doktor,D,A,C,E,B,A,D,D,A,A,B,B,A,B,E,B
279.0,Doktor,B,E,B,C,B,A,C,B,E,B,B,E,E,C,D,A
280.0,Doktor,D,C,D,B,B,A,A,B,B,E,E,D,A,D,D,E
281.0,Bilgisayar Mühendisi,A,C,D,A,C,C,B,B,E,D,C,C,E,A,B,D
282.0,Bilgisayar Mühendisi,D,D,E,E,D,E,C,D,E,C,A,E,C,A,E,A
283.0,Bilgisayar Mühendisi,C,B,C,C,B,E,C,B,E,E,C,D,E,D,A,A
284.0,Doktor,D,B,B,A,D,E,B,C,B,A,E,E,D,D,E,C
285.0,Bilgisayar Mühendisi,B,E,D,C,D,B,E,E,A,B,E,E,C,A,D,C
286.0,Bilgisayar Mühendisi,C,C,A,B,B,E,A,D,B,A,B,A,E,B,E,D
287.0,Doktor,E,B,C,A,C,D,D,E,A,A,D,C,A,D,B,E
288.0,Bilgisayar Mühendisi,A,E,D,C,A,B,E,C,D,A,E,E,C,C,D,D
289.0,Doktor,A,E,B,E,C,A,D,A,C,B,B,E,C,D,C,A
290.0,Doktor,D,D,A,A,A,C,B,E,B,E,C,C,D,C,C,A
291.0,Bilgisayar Mühendisi,C,A,C,A,C,D,C,E,E,D,B,E,D,E,A,B
292.0,Doktor,C,A,E,B,C,A,C,C,C,D,A,D,C,E,A,E
293.0,Doktor,B,A,A,E,B,B,C,C,A,E,D,E,E,B,B,D
294.0,Bilgisayar Mühendisi,A,C,D,E,E,E,B,D,A,A,A,E,D,C,D,B
295.0,Doktor,B,A,B,C,E,D,E,D,B,B,E,C,C,B,D,C
296.0,Doktor,D,C,A,B,C,A,A,E,A,B,C,A,E,D,B,D
297.0,Bilgisayar Mühendisi,A,A,D,E,B,A,B,D,A,C,A,C,D,B,E,C
298.0,Doktor,B,A,E,E,B,C,C,D,B,D,E,A,C,C,D,D
299.0,Doktor,B,D,B,E,D,B,D,E,C,D,A,C,E,E,E,D
300.0,Bilgisayar Mühendisi,C,D,A,D,D,B,C,B,A,A,E,B,A,E,A,A
301.0,Doktor,A,B,A,E,C,D,A,D,D,D,B,E,A,E,B,E
302.0,Doktor,D,D,D,C,C,E,C,A,E,B,D,C,D,D,D,E
303.0,Bilgisayar Mühendisi,A,D,C,B,D,E,B,E,E,D,E,C,D,C,D,A
304.0,Doktor,D,B,D,C,A,B,B,A,D,D,D,A,B,E,E,E
305.0,Doktor,E,B,D,A,C,E,B,E,E,E,C,A,E,B,C,C
306.0,Bilgisayar Mühendisi,A,D,E,C,E,D,B,B,E,E,D,E,A,E,E,B
307.0,Doktor,A,C,E,D,C,E,E,C,D,D,A,D,C,C,E,E
308.0,Doktor,C,C,C,E,C,B,E,B,E,B,C,B,A,D,E,B
309.0,Bilgisayar Mühendisi,A,D,E,E,A,C,D,A,B,A,C,D,C,C,B,C
